"patient"	"nCount_RNA"	"nFeature_RNA"	"sample"	"ads_x"	"ads_y"	"pixel_x"	"pixel_y"	"SCT_snn_res.0.8"
"P2_18x34_3"	" 2"	"17421"	"5494"	"3"	"18.08"	"34.05"	" 5265.6"	" 8769.9"	"5"
"P2_18x36_3"	" 2"	"11055"	"4295"	"3"	"18.03"	"36.00"	" 5256.5"	" 9160.8"	"9"
"P2_18x38_3"	" 2"	" 3544"	"1845"	"3"	"17.97"	"38.02"	" 5245.7"	" 9566.0"	"0"
"P2_18x40_3"	" 2"	" 1711"	"1017"	"3"	"18.03"	"40.02"	" 5256.9"	" 9966.6"	"0"
"P2_18x42_3"	" 2"	" 1248"	" 793"	"3"	"18.06"	"42.04"	" 5261.8"	"10370.6"	"0"
"P2_19x13_3"	" 2"	"23247"	"5803"	"3"	"19.03"	"13.04"	" 5437.6"	" 4562.0"	"10"
"P2_19x15_3"	" 2"	"25571"	"6157"	"3"	"19.05"	"15.03"	" 5441.5"	" 4960.1"	"2"
"P2_19x17_3"	" 2"	"20871"	"5870"	"3"	"19.06"	"17.07"	" 5443.1"	" 5369.6"	"2"
"P2_19x19_3"	" 2"	"17586"	"4750"	"3"	"19.08"	"19.04"	" 5447.0"	" 5763.3"	"2"
"P2_19x21_3"	" 2"	"15970"	"4322"	"3"	"18.99"	"21.01"	" 5430.7"	" 6158.5"	"2"
"P2_19x23_3"	" 2"	"25737"	"5700"	"3"	"19.03"	"23.07"	" 5437.5"	" 6571.5"	"2"
"P2_19x25_3"	" 2"	"34044"	"6703"	"3"	"19.10"	"25.00"	" 5449.5"	" 6957.6"	"2"
"P2_19x27_3"	" 2"	"12268"	"4152"	"3"	"19.06"	"27.06"	" 5443.2"	" 7369.6"	"4"
"P2_19x29_3"	" 2"	"10345"	"3882"	"3"	"18.99"	"29.04"	" 5430.8"	" 7766.3"	"4"
"P2_19x31_3"	" 2"	"44962"	"7768"	"3"	"19.10"	"31.06"	" 5451.0"	" 8171.1"	"5"
"P2_19x33_3"	" 2"	"18550"	"5769"	"3"	"19.07"	"33.02"	" 5443.9"	" 8564.7"	"5"
"P2_19x35_3"	" 2"	" 7929"	"3357"	"3"	"19.08"	"35.07"	" 5445.8"	" 8975.8"	"11"
"P2_19x37_3"	" 2"	" 3209"	"1701"	"3"	"18.99"	"37.01"	" 5431.0"	" 9364.0"	"0"
"P2_19x39_3"	" 2"	" 2779"	"1526"	"3"	"19.03"	"39.01"	" 5437.7"	" 9765.3"	"0"
"P2_19x41_3"	" 2"	" 1824"	"1080"	"3"	"19.04"	"41.03"	" 5440.1"	"10168.5"	"0"
"P2_19x43_3"	" 2"	" 1267"	" 799"	"3"	"19.07"	"43.02"	" 5444.2"	"10567.3"	"1"
"P2_20x12_3"	" 2"	" 6087"	"2072"	"3"	"20.05"	"12.03"	" 5621.5"	" 4359.4"	"8"
"P2_20x14_3"	" 2"	"26428"	"6131"	"3"	"20.03"	"14.03"	" 5617.7"	" 4759.0"	"2"
"P2_20x16_3"	" 2"	"17851"	"5313"	"3"	"20.07"	"16.03"	" 5625.6"	" 5160.1"	"2"
"P2_20x18_3"	" 2"	"26756"	"5918"	"3"	"20.06"	"18.05"	" 5622.7"	" 5565.8"	"2"
"P2_20x20_3"	" 2"	"26679"	"5623"	"3"	"19.99"	"20.06"	" 5611.0"	" 5967.3"	"2"
"P2_20x22_3"	" 2"	"24517"	"5901"	"3"	"20.00"	"22.08"	" 5613.4"	" 6371.5"	"2"
"P2_20x24_3"	" 2"	"24711"	"6083"	"3"	"20.07"	"24.05"	" 5625.3"	" 6766.4"	"1"
"P2_20x26_3"	" 2"	"34020"	"6901"	"3"	"20.01"	"26.09"	" 5614.4"	" 7175.2"	"2"
"P2_20x28_3"	" 2"	"35995"	"6940"	"3"	"20.03"	"28.04"	" 5617.3"	" 7566.4"	"2"
"P2_20x30_3"	" 2"	"21495"	"5787"	"3"	"20.01"	"30.05"	" 5615.0"	" 7969.4"	"0"
"P2_20x32_3"	" 2"	"24506"	"5924"	"3"	"20.01"	"32.04"	" 5615.0"	" 8367.7"	"5"
"P2_20x34_3"	" 2"	"14752"	"5041"	"3"	"20.02"	"33.99"	" 5615.7"	" 8758.6"	"5"
"P2_20x36_3"	" 2"	" 7568"	"3242"	"3"	"20.03"	"36.01"	" 5617.9"	" 9163.4"	"9"
"P2_20x38_3"	" 2"	" 3773"	"1895"	"3"	"19.99"	"38.03"	" 5610.1"	" 9568.2"	"0"
"P2_20x40_3"	" 2"	" 1986"	"1166"	"3"	"19.97"	"40.04"	" 5606.9"	" 9970.7"	"0"
"P2_20x42_3"	" 2"	" 1442"	" 874"	"3"	"20.05"	"42.01"	" 5622.2"	"10365.9"	"1"
"P2_20x48_3"	" 2"	" 1098"	" 696"	"3"	"20.03"	"48.00"	" 5617.8"	"11566.2"	"1"
"P2_21x11_3"	" 2"	" 2118"	"1150"	"3"	"21.06"	"11.08"	" 5803.3"	" 4169.4"	"1"
"P2_21x13_3"	" 2"	"37331"	"7272"	"3"	"21.03"	"13.09"	" 5798.6"	" 4571.1"	"10"
"P2_21x15_3"	" 2"	"22737"	"5350"	"3"	"21.03"	"15.06"	" 5798.9"	" 4966.9"	"2"
"P2_21x17_3"	" 2"	"35871"	"6970"	"3"	"21.04"	"17.07"	" 5800.1"	" 5368.5"	"2"
"P2_21x19_3"	" 2"	"19987"	"4689"	"3"	"21.05"	"19.06"	" 5801.8"	" 5766.5"	"2"
"P2_21x21_3"	" 2"	"15410"	"4642"	"3"	"21.01"	"21.07"	" 5794.7"	" 6169.7"	"2"
"P2_21x23_3"	" 2"	"17516"	"5120"	"3"	"21.03"	"23.07"	" 5798.5"	" 6571.6"	"2"
"P2_21x25_3"	" 2"	"23359"	"5907"	"3"	"21.09"	"25.05"	" 5808.6"	" 6966.7"	"4"
"P2_21x27_3"	" 2"	"25378"	"5667"	"3"	"21.09"	"27.07"	" 5810.1"	" 7371.4"	"3"
"P2_21x29_3"	" 2"	" 3936"	"1812"	"3"	"21.02"	"29.10"	" 5796.6"	" 7779.1"	"1"
"P2_21x31_3"	" 2"	"19115"	"4744"	"3"	"21.03"	"31.08"	" 5798.6"	" 8176.3"	"3"
"P2_21x33_3"	" 2"	"13126"	"4617"	"3"	"21.03"	"33.05"	" 5799.1"	" 8569.8"	"5"
"P2_21x35_3"	" 2"	" 4100"	"2111"	"3"	"21.06"	"35.07"	" 5804.6"	" 8975.6"	"0"
"P2_21x37_3"	" 2"	" 5066"	"2424"	"3"	"20.90"	"37.04"	" 5775.0"	" 9369.1"	"0"
"P2_21x39_3"	" 2"	" 1760"	"1031"	"3"	"21.03"	"39.04"	" 5798.3"	" 9769.8"	"0"
"P2_21x41_3"	" 2"	" 2124"	"1214"	"3"	"21.03"	"41.05"	" 5799.0"	"10172.1"	"0"
"P2_21x43_3"	" 2"	" 2490"	"1488"	"3"	"21.05"	"43.05"	" 5801.6"	"10573.7"	"0"
"P2_21x45_3"	" 2"	"  787"	" 526"	"3"	"21.02"	"45.05"	" 5797.0"	"10975.0"	"1"
"P2_21x47_3"	" 2"	" 1588"	" 951"	"3"	"21.10"	"47.06"	" 5811.5"	"11376.2"	"0"
"P2_21x49_3"	" 2"	"  654"	" 416"	"3"	"21.05"	"49.04"	" 5802.2"	"11774.3"	"1"
"P2_22x10_3"	" 2"	" 1112"	" 687"	"3"	"22.09"	"10.11"	" 5989.6"	" 3974.1"	"1"
"P2_22x12_3"	" 2"	"29643"	"6424"	"3"	"22.04"	"12.10"	" 5981.0"	" 4372.2"	"10"
"P2_22x14_3"	" 2"	"40010"	"7358"	"3"	"22.07"	"14.09"	" 5986.5"	" 4771.7"	"2"
"P2_22x16_3"	" 2"	"11566"	"4302"	"3"	"22.06"	"16.11"	" 5985.0"	" 5175.7"	"4"
"P2_22x18_3"	" 2"	"40265"	"7154"	"3"	"22.07"	"18.10"	" 5986.0"	" 5575.2"	"2"
"P2_22x20_3"	" 2"	"23241"	"5871"	"3"	"22.04"	"20.09"	" 5980.9"	" 5973.9"	"2"
"P2_22x22_3"	" 2"	" 4278"	"1873"	"3"	"22.00"	"22.11"	" 5972.8"	" 6378.2"	"1"
"P2_22x24_3"	" 2"	"19137"	"4745"	"3"	"22.06"	"24.09"	" 5984.7"	" 6775.9"	"2"
"P2_22x26_3"	" 2"	"26370"	"6082"	"3"	"22.05"	"26.07"	" 5982.5"	" 7172.2"	"2"
"P2_22x28_3"	" 2"	"17023"	"4370"	"3"	"22.06"	"28.09"	" 5984.4"	" 7576.5"	"0"
"P2_22x30_3"	" 2"	"28485"	"6224"	"3"	"22.02"	"30.07"	" 5977.2"	" 7973.7"	"0"
"P2_22x32_3"	" 2"	"22723"	"5890"	"3"	"22.05"	"32.08"	" 5982.7"	" 8375.1"	"5"
"P2_22x34_3"	" 2"	"20198"	"6051"	"3"	"22.06"	"34.09"	" 5984.3"	" 8778.6"	"0"
"P2_22x36_3"	" 2"	" 8642"	"3529"	"3"	"22.02"	"36.09"	" 5976.9"	" 9179.6"	"9"
"P2_22x38_3"	" 2"	" 3467"	"1777"	"3"	"22.03"	"38.01"	" 5978.2"	" 9564.4"	"0"
"P2_22x40_3"	" 2"	" 2978"	"1702"	"3"	"22.04"	"40.05"	" 5980.1"	" 9972.5"	"0"
"P2_22x42_3"	" 2"	" 2914"	"1648"	"3"	"22.03"	"42.07"	" 5979.4"	"10377.3"	"1"
"P2_22x44_3"	" 2"	" 1417"	" 876"	"3"	"22.07"	"44.07"	" 5986.1"	"10777.4"	"0"
"P2_22x46_3"	" 2"	" 1287"	" 800"	"3"	"22.02"	"46.09"	" 5977.3"	"11183.6"	"0"
"P2_22x48_3"	" 2"	" 1034"	" 679"	"3"	"22.03"	"48.06"	" 5979.4"	"11578.5"	"1"
"P2_23x9_3"	" 2"	" 1166"	" 699"	"3"	"23.09"	" 9.11"	" 6170.4"	" 3773.7"	"1"
"P2_23x11_3"	" 2"	"16778"	"4956"	"3"	"23.09"	"11.10"	" 6171.1"	" 4173.4"	"10"
"P2_23x13_3"	" 2"	" 6725"	"3059"	"3"	"23.05"	"13.10"	" 6163.0"	" 4572.9"	"4"
"P2_23x15_3"	" 2"	"12889"	"4577"	"3"	"23.07"	"15.08"	" 6167.5"	" 4970.4"	"4"
"P2_23x17_3"	" 2"	"34102"	"7135"	"3"	"23.01"	"17.09"	" 6156.2"	" 5372.6"	"2"
"P2_23x19_3"	" 2"	"27381"	"6310"	"3"	"23.08"	"19.08"	" 6167.8"	" 5772.1"	"4"
"P2_23x21_3"	" 2"	"10418"	"3876"	"3"	"23.03"	"21.08"	" 6160.3"	" 6171.6"	"4"
"P2_23x23_3"	" 2"	"18035"	"4652"	"3"	"23.06"	"23.08"	" 6164.5"	" 6571.7"	"2"
"P2_23x25_3"	" 2"	"18135"	"4922"	"3"	"23.05"	"25.05"	" 6163.5"	" 6968.1"	"2"
"P2_23x27_3"	" 2"	"29937"	"6333"	"3"	"23.05"	"27.14"	" 6163.5"	" 7385.9"	"2"
"P2_23x29_3"	" 2"	"18036"	"4564"	"3"	"23.05"	"29.10"	" 6162.9"	" 7778.0"	"3"
"P2_23x31_3"	" 2"	"20460"	"5070"	"3"	"23.06"	"31.06"	" 6164.7"	" 8171.0"	"5"
"P2_23x33_3"	" 2"	"14464"	"5003"	"3"	"23.03"	"33.08"	" 6160.2"	" 8576.3"	"5"
"P2_23x35_3"	" 2"	" 9032"	"3813"	"3"	"23.03"	"35.11"	" 6160.0"	" 8983.0"	"0"
"P2_23x37_3"	" 2"	" 2374"	"1323"	"3"	"22.99"	"37.06"	" 6152.6"	" 9374.1"	"0"
"P2_23x39_3"	" 2"	" 2000"	"1159"	"3"	"23.02"	"39.05"	" 6156.9"	" 9771.7"	"0"
"P2_23x41_3"	" 2"	" 4718"	"2389"	"3"	"23.01"	"41.08"	" 6156.7"	"10178.6"	"9"
"P2_23x43_3"	" 2"	" 7319"	"3295"	"3"	"23.04"	"43.09"	" 6162.0"	"10581.1"	"9"
"P2_23x45_3"	" 2"	" 2079"	"1175"	"3"	"23.03"	"45.07"	" 6159.8"	"10978.4"	"0"
"P2_23x47_3"	" 2"	"  656"	" 407"	"3"	"23.03"	"47.05"	" 6159.7"	"11374.6"	"1"
"P2_23x49_3"	" 2"	" 1352"	" 815"	"3"	"23.04"	"49.08"	" 6161.5"	"11782.3"	"0"
"P2_24x10_3"	" 2"	"10689"	"3865"	"3"	"24.09"	"10.09"	" 6350.7"	" 3970.8"	"10"
"P2_24x12_3"	" 2"	" 7432"	"3144"	"3"	"24.06"	"12.14"	" 6344.7"	" 4380.3"	"4"
"P2_24x14_3"	" 2"	" 5962"	"2884"	"3"	"24.04"	"14.05"	" 6341.8"	" 4763.9"	"4"
"P2_24x16_3"	" 2"	" 6087"	"2810"	"3"	"24.06"	"16.08"	" 6345.9"	" 5169.9"	"4"
"P2_24x18_3"	" 2"	" 9401"	"3648"	"3"	"24.07"	"18.08"	" 6346.9"	" 5570.0"	"4"
"P2_24x20_3"	" 2"	"14843"	"4695"	"3"	"24.02"	"20.07"	" 6339.0"	" 5969.8"	"4"
"P2_24x22_3"	" 2"	"27092"	"6162"	"3"	"24.04"	"22.06"	" 6342.2"	" 6368.9"	"2"
"P2_24x24_3"	" 2"	"14879"	"4070"	"3"	"24.06"	"24.04"	" 6346.2"	" 6765.9"	"2"
"P2_24x26_3"	" 2"	"32122"	"6927"	"3"	"24.05"	"26.07"	" 6343.0"	" 7172.8"	"2"
"P2_24x28_3"	" 2"	"20466"	"4775"	"3"	"24.02"	"28.09"	" 6338.9"	" 7576.3"	"3"
"P2_24x30_3"	" 2"	"15468"	"4250"	"3"	"24.02"	"30.01"	" 6338.1"	" 7961.5"	"3"
"P2_24x32_3"	" 2"	"27939"	"6871"	"3"	"24.02"	"32.08"	" 6337.7"	" 8376.5"	"5"
"P2_24x34_3"	" 2"	"25790"	"6625"	"3"	"24.03"	"34.08"	" 6339.9"	" 8776.2"	"0"
"P2_24x36_3"	" 2"	" 4225"	"2088"	"3"	"24.00"	"36.05"	" 6335.4"	" 9171.3"	"0"
"P2_24x38_3"	" 2"	" 2354"	"1342"	"3"	"23.99"	"38.01"	" 6333.7"	" 9563.7"	"0"
"P2_24x40_3"	" 2"	" 1783"	"1068"	"3"	"23.99"	"40.07"	" 6332.3"	" 9976.9"	"0"
"P2_24x42_3"	" 2"	" 6857"	"3059"	"3"	"24.04"	"42.07"	" 6341.0"	"10378.1"	"9"
"P2_24x44_3"	" 2"	" 1020"	" 679"	"3"	"24.04"	"44.06"	" 6342.2"	"10775.2"	"0"
"P2_24x46_3"	" 2"	" 1261"	" 793"	"3"	"23.98"	"46.08"	" 6330.1"	"11180.0"	"0"
"P2_24x48_3"	" 2"	" 1283"	" 794"	"3"	"24.02"	"48.08"	" 6338.9"	"11580.8"	"1"
"P2_24x50_3"	" 2"	" 1757"	"1033"	"3"	"24.06"	"50.02"	" 6345.8"	"11971.0"	"1"
"P2_25x9_3"	" 2"	" 9546"	"3349"	"3"	"25.08"	" 9.09"	" 6530.3"	" 3770.6"	"10"
"P2_25x11_3"	" 2"	"20234"	"5562"	"3"	"25.10"	"11.09"	" 6533.5"	" 4169.8"	"10"
"P2_25x13_3"	" 2"	"33028"	"6723"	"3"	"25.05"	"13.07"	" 6523.9"	" 4566.8"	"10"
"P2_25x15_3"	" 2"	" 7923"	"3246"	"3"	"25.05"	"15.06"	" 6524.5"	" 4965.2"	"4"
"P2_25x17_3"	" 2"	" 7601"	"3319"	"3"	"25.06"	"17.08"	" 6525.1"	" 5370.7"	"4"
"P2_25x19_3"	" 2"	"33742"	"6702"	"3"	"25.09"	"19.08"	" 6531.0"	" 5770.5"	"2"
"P2_25x21_3"	" 2"	"16436"	"4305"	"3"	"25.03"	"21.05"	" 6521.4"	" 6167.0"	"2"
"P2_25x23_3"	" 2"	"16532"	"4250"	"3"	"25.05"	"23.06"	" 6524.6"	" 6569.2"	"8"
"P2_25x25_3"	" 2"	"18786"	"4708"	"3"	"25.05"	"25.05"	" 6524.0"	" 6967.1"	"3"
"P2_25x27_3"	" 2"	"24535"	"5385"	"3"	"25.07"	"27.07"	" 6528.3"	" 7371.4"	"2"
"P2_25x29_3"	" 2"	"18075"	"4541"	"3"	"25.05"	"29.03"	" 6524.0"	" 7765.0"	"3"
"P2_25x31_3"	" 2"	"42114"	"7669"	"3"	"25.06"	"31.04"	" 6526.5"	" 8166.6"	"5"
"P2_25x33_3"	" 2"	"27810"	"6965"	"3"	"25.02"	"33.07"	" 6518.9"	" 8574.4"	"0"
"P2_25x35_3"	" 2"	" 4395"	"2190"	"3"	"25.03"	"35.05"	" 6519.7"	" 8970.9"	"0"
"P2_25x37_3"	" 2"	" 3855"	"1957"	"3"	"24.99"	"37.06"	" 6513.5"	" 9372.6"	"0"
"P2_25x39_3"	" 2"	" 3446"	"1816"	"3"	"24.98"	"39.05"	" 6510.7"	" 9773.1"	"0"
"P2_25x41_3"	" 2"	" 5113"	"2520"	"3"	"25.03"	"41.06"	" 6520.8"	"10175.5"	"9"
"P2_25x43_3"	" 2"	" 7276"	"3254"	"3"	"25.01"	"43.06"	" 6517.2"	"10575.4"	"9"
"P2_25x45_3"	" 2"	" 1058"	" 662"	"3"	"25.00"	"45.07"	" 6515.7"	"10977.8"	"1"
"P2_25x47_3"	" 2"	" 1686"	" 963"	"3"	"25.02"	"47.06"	" 6519.1"	"11376.6"	"0"
"P2_25x49_3"	" 2"	"  943"	" 606"	"3"	"25.08"	"49.02"	" 6529.5"	"11769.6"	"1"
"P2_25x51_3"	" 2"	" 1259"	" 775"	"3"	"25.07"	"51.02"	" 6527.8"	"12169.8"	"1"
"P2_26x10_3"	" 2"	"17403"	"5000"	"3"	"26.10"	"10.02"	" 6714.5"	" 3955.5"	"10"
"P2_26x12_3"	" 2"	"10746"	"4149"	"3"	"26.06"	"11.99"	" 6707.0"	" 4349.9"	"4"
"P2_26x14_3"	" 2"	"15674"	"4961"	"3"	"26.04"	"14.00"	" 6702.9"	" 4753.3"	"10"
"P2_26x16_3"	" 2"	" 4059"	"2065"	"3"	"26.07"	"16.00"	" 6707.7"	" 5155.2"	"4"
"P2_26x18_3"	" 2"	" 9929"	"3705"	"3"	"26.08"	"17.99"	" 6710.4"	" 5553.8"	"4"
"P2_26x20_3"	" 2"	"26919"	"5993"	"3"	"26.03"	"19.98"	" 6701.5"	" 5952.5"	"4"
"P2_26x22_3"	" 2"	"16647"	"4216"	"3"	"26.04"	"21.98"	" 6702.8"	" 6352.5"	"3"
"P2_26x24_3"	" 2"	"14352"	"3661"	"3"	"26.06"	"23.99"	" 6706.1"	" 6755.7"	"8"
"P2_26x26_3"	" 2"	"24752"	"5465"	"3"	"26.08"	"25.99"	" 6710.6"	" 7154.9"	"3"
"P2_26x28_3"	" 2"	"18623"	"4528"	"3"	"26.03"	"27.99"	" 6700.3"	" 7556.1"	"3"
"P2_26x30_3"	" 2"	"27393"	"6343"	"3"	"26.04"	"29.99"	" 6702.3"	" 7957.5"	"5"
"P2_26x32_3"	" 2"	"20246"	"5878"	"3"	"26.04"	"31.98"	" 6703.5"	" 8355.3"	"5"
"P2_26x34_3"	" 2"	"18053"	"5354"	"3"	"26.07"	"33.98"	" 6707.8"	" 8756.5"	"0"
"P2_26x36_3"	" 2"	" 5702"	"2606"	"3"	"26.03"	"35.98"	" 6700.5"	" 9158.0"	"0"
"P2_26x38_3"	" 2"	" 3879"	"2044"	"3"	"26.02"	"38.00"	" 6699.2"	" 9561.0"	"0"
"P2_26x40_3"	" 2"	" 4129"	"2119"	"3"	"26.03"	"39.98"	" 6701.5"	" 9959.0"	"0"
"P2_26x42_3"	" 2"	" 5224"	"2616"	"3"	"26.05"	"41.98"	" 6703.9"	"10359.2"	"0"
"P2_26x44_3"	" 2"	" 1393"	" 892"	"3"	"26.05"	"44.00"	" 6705.3"	"10763.7"	"0"
"P2_26x46_3"	" 2"	"  928"	" 612"	"3"	"26.03"	"45.94"	" 6701.1"	"11153.2"	"1"
"P2_26x48_3"	" 2"	"  585"	" 403"	"3"	"26.02"	"47.96"	" 6699.8"	"11558.2"	"1"
"P2_26x50_3"	" 2"	" 1148"	" 691"	"3"	"26.05"	"49.98"	" 6703.8"	"11961.3"	"1"
"P2_27x11_3"	" 2"	" 8530"	"3502"	"3"	"27.12"	"11.04"	" 6897.8"	" 4161.4"	"4"
"P2_27x13_3"	" 2"	" 7813"	"3322"	"3"	"27.05"	"13.02"	" 6884.6"	" 4556.7"	"4"
"P2_27x15_3"	" 2"	"12152"	"4232"	"3"	"27.04"	"15.03"	" 6884.0"	" 4960.6"	"10"
"P2_27x17_3"	" 2"	" 3814"	"1974"	"3"	"27.07"	"17.04"	" 6888.1"	" 5363.5"	"4"
"P2_27x19_3"	" 2"	"18048"	"5069"	"3"	"27.10"	"19.03"	" 6894.4"	" 5760.7"	"4"
"P2_27x21_3"	" 2"	"21205"	"5072"	"3"	"27.03"	"21.01"	" 6880.7"	" 6158.2"	"8"
"P2_27x23_3"	" 2"	"10426"	"3015"	"3"	"27.05"	"23.01"	" 6885.0"	" 6559.2"	"8"
"P2_27x25_3"	" 2"	"10736"	"3088"	"3"	"27.06"	"25.02"	" 6887.7"	" 6962.3"	"8"
"P2_27x27_3"	" 2"	"15753"	"4066"	"3"	"27.08"	"27.02"	" 6891.4"	" 7362.7"	"3"
"P2_27x29_3"	" 2"	"25766"	"5808"	"3"	"27.01"	"29.03"	" 6878.5"	" 7765.3"	"0"
"P2_27x31_3"	" 2"	"22439"	"5984"	"3"	"27.04"	"31.01"	" 6882.9"	" 8161.4"	"5"
"P2_27x33_3"	" 2"	"45413"	"8063"	"3"	"27.09"	"33.03"	" 6892.2"	" 8566.9"	"0"
"P2_27x35_3"	" 2"	"22323"	"6115"	"3"	"27.07"	"35.00"	" 6888.3"	" 8960.4"	"5"
"P2_27x37_3"	" 2"	"12394"	"4364"	"3"	"27.02"	"37.00"	" 6880.5"	" 9361.6"	"5"
"P2_27x39_3"	" 2"	" 3277"	"1701"	"3"	"27.01"	"39.02"	" 6877.1"	" 9765.5"	"0"
"P2_27x41_3"	" 2"	" 7109"	"2992"	"3"	"27.07"	"41.02"	" 6888.4"	"10166.2"	"0"
"P2_27x43_3"	" 2"	" 1393"	" 917"	"3"	"27.06"	"43.03"	" 6887.5"	"10568.9"	"0"
"P2_27x45_3"	" 2"	" 3804"	"2003"	"3"	"27.01"	"45.03"	" 6877.8"	"10970.2"	"9"
"P2_27x47_3"	" 2"	"  943"	" 626"	"3"	"27.02"	"47.01"	" 6880.5"	"11367.5"	"1"
"P2_27x49_3"	" 2"	" 1126"	" 681"	"3"	"27.13"	"49.12"	" 6899.7"	"11789.2"	"1"
"P2_27x51_3"	" 2"	"  888"	" 581"	"3"	"27.07"	"51.00"	" 6889.2"	"12167.0"	"1"
"P2_28x10_3"	" 2"	" 4993"	"2304"	"3"	"28.12"	"10.03"	" 7077.4"	" 3958.5"	"10"
"P2_28x12_3"	" 2"	"10866"	"3924"	"3"	"28.04"	"12.01"	" 7064.6"	" 4354.5"	"4"
"P2_28x14_3"	" 2"	" 6785"	"3032"	"3"	"28.05"	"14.00"	" 7066.0"	" 4754.1"	"4"
"P2_28x16_3"	" 2"	" 5047"	"2393"	"3"	"28.07"	"16.01"	" 7069.7"	" 5156.9"	"1"
"P2_28x18_3"	" 2"	" 8992"	"3456"	"3"	"28.10"	"18.02"	" 7074.4"	" 5559.3"	"4"
"P2_28x20_3"	" 2"	"18389"	"4456"	"3"	"28.01"	"20.00"	" 7059.0"	" 5956.1"	"8"
"P2_28x22_3"	" 2"	"10191"	"3022"	"3"	"28.03"	"22.00"	" 7062.4"	" 6355.5"	"8"
"P2_28x24_3"	" 2"	"11988"	"3173"	"3"	"28.06"	"24.02"	" 7067.4"	" 6761.1"	"8"
"P2_28x26_3"	" 2"	"13298"	"3570"	"3"	"28.13"	"26.01"	" 7080.3"	" 7158.9"	"3"
"P2_28x28_3"	" 2"	"16983"	"4249"	"3"	"28.04"	"28.00"	" 7063.2"	" 7559.2"	"3"
"P2_28x30_3"	" 2"	"36167"	"7072"	"3"	"28.04"	"29.96"	" 7064.3"	" 7951.7"	"2"
"P2_28x32_3"	" 2"	"32658"	"6865"	"3"	"28.05"	"32.03"	" 7066.0"	" 8365.8"	"0"
"P2_28x34_3"	" 2"	"18901"	"5667"	"3"	"28.05"	"34.02"	" 7066.5"	" 8764.0"	"5"
"P2_28x36_3"	" 2"	"25593"	"6187"	"3"	"28.01"	"36.02"	" 7058.4"	" 9164.3"	"5"
"P2_28x38_3"	" 2"	" 6045"	"2649"	"3"	"28.01"	"38.00"	" 7058.6"	" 9562.1"	"0"
"P2_28x40_3"	" 2"	" 3693"	"1895"	"3"	"28.03"	"40.01"	" 7061.8"	" 9964.1"	"0"
"P2_28x42_3"	" 2"	"10736"	"4214"	"3"	"28.06"	"42.01"	" 7068.2"	"10364.9"	"9"
"P2_28x44_3"	" 2"	" 1482"	" 913"	"3"	"28.06"	"44.03"	" 7068.3"	"10770.6"	"0"
"P2_28x46_3"	" 2"	" 9048"	"3733"	"3"	"28.03"	"46.01"	" 7062.3"	"11166.7"	"9"
"P2_28x48_3"	" 2"	" 1606"	" 955"	"3"	"28.02"	"48.00"	" 7059.4"	"11565.7"	"1"
"P2_29x11_3"	" 2"	" 4347"	"2123"	"3"	"29.12"	"11.03"	" 7259.3"	" 4157.6"	"4"
"P2_29x13_3"	" 2"	" 3984"	"2082"	"3"	"29.05"	"13.02"	" 7246.4"	" 4557.3"	"4"
"P2_29x15_3"	" 2"	"15539"	"4745"	"3"	"29.06"	"15.02"	" 7247.2"	" 4957.3"	"10"
"P2_29x17_3"	" 2"	"15539"	"4809"	"3"	"29.07"	"17.01"	" 7249.9"	" 5357.1"	"10"
"P2_29x19_3"	" 2"	"25738"	"5623"	"3"	"29.09"	"19.00"	" 7253.3"	" 5755.6"	"8"
"P2_29x21_3"	" 2"	"12726"	"3662"	"3"	"29.04"	"20.98"	" 7243.5"	" 6151.2"	"8"
"P2_29x23_3"	" 2"	" 5090"	"1866"	"3"	"29.05"	"22.99"	" 7246.2"	" 6555.4"	"8"
"P2_29x25_3"	" 2"	" 8945"	"2887"	"3"	"29.09"	"25.01"	" 7253.6"	" 6959.9"	"8"
"P2_29x27_3"	" 2"	" 6522"	"2020"	"3"	"29.09"	"26.99"	" 7252.9"	" 7356.7"	"3"
"P2_29x29_3"	" 2"	"25620"	"5531"	"3"	"29.02"	"29.02"	" 7241.5"	" 7762.8"	"3"
"P2_29x31_3"	" 2"	"15994"	"4773"	"3"	"29.03"	"30.99"	" 7242.9"	" 8156.6"	"0"
"P2_29x33_3"	" 2"	"31311"	"6940"	"3"	"29.07"	"33.02"	" 7249.0"	" 8564.8"	"5"
"P2_29x35_3"	" 2"	"35786"	"7291"	"3"	"29.07"	"35.00"	" 7249.1"	" 8960.5"	"5"
"P2_29x37_3"	" 2"	"18279"	"5278"	"3"	"29.02"	"37.00"	" 7239.9"	" 9360.9"	"5"
"P2_29x39_3"	" 2"	" 5995"	"2655"	"3"	"29.02"	"39.00"	" 7239.9"	" 9761.6"	"0"
"P2_29x41_3"	" 2"	"11353"	"4327"	"3"	"29.06"	"41.00"	" 7247.3"	"10162.1"	"0"
"P2_29x43_3"	" 2"	" 8064"	"3334"	"3"	"29.07"	"43.02"	" 7249.1"	"10568.3"	"9"
"P2_29x45_3"	" 2"	" 4162"	"2132"	"3"	"29.01"	"45.04"	" 7239.3"	"10972.1"	"0"
"P2_29x47_3"	" 2"	" 8848"	"3633"	"3"	"29.01"	"46.98"	" 7238.1"	"11360.3"	"9"
