cell1,cell2,score,dataset1,dataset2
1,3410,0.380952380952381,1,2
3,2767,0.904761904761905,1,2
3,3004,1,1,2
5,329,1,1,2
6,2769,0.285714285714286,1,2
6,3041,0.761904761904762,1,2
7,58,0.285714285714286,1,2
7,2567,0.333333333333333,1,2
8,1167,0.523809523809524,1,2
8,2886,0.523809523809524,1,2
8,3543,0.428571428571429,1,2
9,1483,0.285714285714286,1,2
10,730,1,1,2
10,1222,0.714285714285714,1,2
11,3527,0.571428571428571,1,2
11,3589,0.619047619047619,1,2
11,139,0.666666666666667,1,2
12,12,0.523809523809524,1,2
12,400,0,1,2
14,3369,0.666666666666667,1,2
16,2156,0.285714285714286,1,2
17,2431,1,1,2
17,17,0.952380952380952,1,2
17,3184,0.523809523809524,1,2
18,560,0.0476190476190476,1,2
19,1052,0.619047619047619,1,2
21,839,0.761904761904762,1,2
22,1949,0.285714285714286,1,2
24,1085,0.238095238095238,1,2
25,657,1,1,2
25,2600,1,1,2
25,1408,1,1,2
26,210,0.80952380952381,1,2
26,1116,0.619047619047619,1,2
27,2486,0.428571428571429,1,2
29,2014,0.476190476190476,1,2
31,1400,0.952380952380952,1,2
31,2456,0.714285714285714,1,2
32,1097,0.952380952380952,1,2
33,973,0.238095238095238,1,2
35,1654,0.238095238095238,1,2
38,845,1,1,2
38,892,0.380952380952381,1,2
38,3130,0.666666666666667,1,2
39,38,0.380952380952381,1,2
39,1164,0.380952380952381,1,2
40,604,0.380952380952381,1,2
40,2937,0.380952380952381,1,2
41,218,0.238095238095238,1,2
41,1797,0.0952380952380952,1,2
42,303,0.428571428571429,1,2
43,2829,0.761904761904762,1,2
44,43,0.714285714285714,1,2
44,166,0.571428571428571,1,2
44,3543,0.428571428571429,1,2
45,3097,1,1,2
47,2895,0.333333333333333,1,2
47,1778,0.285714285714286,1,2
48,3115,0.238095238095238,1,2
49,578,0.142857142857143,1,2
50,1347,0.80952380952381,1,2
53,2736,0.476190476190476,1,2
54,1149,0.571428571428571,1,2
56,2304,0.714285714285714,1,2
56,2701,0.333333333333333,1,2
59,2019,0.761904761904762,1,2
59,855,0.714285714285714,1,2
59,2915,0.714285714285714,1,2
59,348,0.333333333333333,1,2
61,466,0.333333333333333,1,2
61,3600,0.333333333333333,1,2
61,82,0.19047619047619,1,2
61,737,0.142857142857143,1,2
65,2066,0.761904761904762,1,2
65,2090,0.428571428571429,1,2
65,1964,0.380952380952381,1,2
67,662,0.238095238095238,1,2
68,2460,0.571428571428571,1,2
70,44,1,1,2
70,3338,0.714285714285714,1,2
71,2935,0.619047619047619,1,2
71,2700,0.523809523809524,1,2
72,540,0.619047619047619,1,2
74,126,0.428571428571429,1,2
75,1624,0.19047619047619,1,2
76,2072,0.761904761904762,1,2
76,776,0.952380952380952,1,2
77,135,0.238095238095238,1,2
79,1576,0.714285714285714,1,2
81,78,0.428571428571429,1,2
81,2947,0.428571428571429,1,2
81,1353,0.571428571428571,1,2
82,2115,0.0476190476190476,1,2
83,2115,0.333333333333333,1,2
83,1262,0.333333333333333,1,2
84,3615,0.571428571428571,1,2
84,3169,0.285714285714286,1,2
86,478,0.761904761904762,1,2
86,1136,0.571428571428571,1,2
86,1321,0.523809523809524,1,2
87,1474,0.714285714285714,1,2
87,1269,0.571428571428571,1,2
88,435,0.333333333333333,1,2
89,134,0.333333333333333,1,2
90,595,0.333333333333333,1,2
91,1047,0.523809523809524,1,2
91,2384,0.333333333333333,1,2
92,85,0.80952380952381,1,2
92,1220,0.523809523809524,1,2
95,2965,0.142857142857143,1,2
96,1500,0.333333333333333,1,2
97,2720,1,1,2
97,634,1,1,2
98,274,0.333333333333333,1,2
99,398,0.904761904761905,1,2
99,1417,1,1,2
100,2646,0.476190476190476,1,2
100,1029,0.714285714285714,1,2
101,2591,0.857142857142857,1,2
104,1137,0.285714285714286,1,2
105,381,0.666666666666667,1,2
107,1430,0.904761904761905,1,2
107,1891,0.619047619047619,1,2
108,1160,0.761904761904762,1,2
108,1826,0.571428571428571,1,2
108,2745,0.619047619047619,1,2
108,2374,0.523809523809524,1,2
109,1222,0.666666666666667,1,2
109,3477,0.571428571428571,1,2
113,2294,0.619047619047619,1,2
114,1390,0.238095238095238,1,2
114,1115,0.238095238095238,1,2
115,1104,0.80952380952381,1,2
115,2920,0.80952380952381,1,2
117,1790,0.523809523809524,1,2
119,1410,0.476190476190476,1,2
119,1965,0.714285714285714,1,2
120,1457,0.19047619047619,1,2
121,2836,0.19047619047619,1,2
122,2716,0.0952380952380952,1,2
125,3531,0.904761904761905,1,2
125,2785,0.761904761904762,1,2
125,73,0.523809523809524,1,2
125,741,0.761904761904762,1,2
128,2278,0.666666666666667,1,2
129,1716,0.380952380952381,1,2
129,826,0.523809523809524,1,2
132,2143,0.476190476190476,1,2
132,1193,0.285714285714286,1,2
134,2215,0.476190476190476,1,2
134,1909,0.80952380952381,1,2
135,1708,0.476190476190476,1,2
135,3192,0.523809523809524,1,2
135,2309,0.380952380952381,1,2
137,1443,0.285714285714286,1,2
138,86,0.238095238095238,1,2
139,1551,0.0952380952380952,1,2
139,3095,0.380952380952381,1,2
140,131,0.952380952380952,1,2
140,1465,1,1,2
140,2130,0.952380952380952,1,2
141,13,0.380952380952381,1,2
141,2644,0.428571428571429,1,2
141,945,0.333333333333333,1,2
142,3148,0.238095238095238,1,2
143,913,0.857142857142857,1,2
143,3624,0.19047619047619,1,2
143,2052,0.285714285714286,1,2
145,888,0.238095238095238,1,2
145,1096,0.476190476190476,1,2
146,429,0.476190476190476,1,2
146,3385,0.380952380952381,1,2
146,365,0.380952380952381,1,2
149,3199,0.380952380952381,1,2
149,905,0.238095238095238,1,2
150,1083,0.666666666666667,1,2
151,2326,0.238095238095238,1,2
153,1585,0.571428571428571,1,2
154,1403,1,1,2
154,3413,1,1,2
155,1200,0,1,2
156,2192,1,1,2
156,757,1,1,2
156,2714,0.952380952380952,1,2
158,3550,0.571428571428571,1,2
160,1835,0.19047619047619,1,2
162,1,0.333333333333333,1,2
163,2008,0.476190476190476,1,2
166,2557,0.428571428571429,1,2
166,1339,0.0476190476190476,1,2
166,3162,0.238095238095238,1,2
167,1020,0.80952380952381,1,2
167,1283,0.285714285714286,1,2
168,2890,0.523809523809524,1,2
169,2228,1,1,2
169,453,0.19047619047619,1,2
170,457,1,1,2
170,3242,1,1,2
171,1271,0.619047619047619,1,2
171,2708,0.476190476190476,1,2
171,2295,0.428571428571429,1,2
171,933,0.285714285714286,1,2
172,2516,1,1,2
173,3568,0.428571428571429,1,2
173,1942,0.428571428571429,1,2
174,453,0.428571428571429,1,2
174,1963,0.380952380952381,1,2
176,2082,1,1,2
176,1639,1,1,2
179,64,0.476190476190476,1,2
179,2817,0.666666666666667,1,2
180,3123,0.428571428571429,1,2
180,1317,0.571428571428571,1,2
180,3171,0.476190476190476,1,2
181,813,0.285714285714286,1,2
181,643,0.571428571428571,1,2
182,2251,1,1,2
182,394,1,1,2
182,3243,0.80952380952381,1,2
182,2272,0.714285714285714,1,2
183,1335,0.476190476190476,1,2
187,1632,0.238095238095238,1,2
188,3308,0.333333333333333,1,2
188,3432,0.952380952380952,1,2
190,1202,0.238095238095238,1,2
191,83,0.19047619047619,1,2
197,1981,0.428571428571429,1,2
197,1920,0.238095238095238,1,2
197,1394,0.238095238095238,1,2
202,2721,0.476190476190476,1,2
204,1059,0.666666666666667,1,2
204,3251,0.380952380952381,1,2
205,920,0.523809523809524,1,2
205,1605,0.19047619047619,1,2
206,2653,0.428571428571429,1,2
206,1184,0.857142857142857,1,2
207,1169,0.380952380952381,1,2
209,1524,0.523809523809524,1,2
209,1624,0.142857142857143,1,2
214,2237,0.619047619047619,1,2
214,629,0.666666666666667,1,2
214,842,0.761904761904762,1,2
215,1597,0.428571428571429,1,2
215,2829,0.0476190476190476,1,2
217,2546,0.857142857142857,1,2
217,2298,0.476190476190476,1,2
219,2474,0.761904761904762,1,2
221,2488,0.380952380952381,1,2
221,1097,0.761904761904762,1,2
221,3,0.523809523809524,1,2
222,2753,0.666666666666667,1,2
225,2636,0.571428571428571,1,2
225,3478,0.380952380952381,1,2
225,51,0.333333333333333,1,2
227,3510,0.714285714285714,1,2
227,375,0.952380952380952,1,2
227,3524,1,1,2
227,2254,0.952380952380952,1,2
227,1051,1,1,2
228,68,0.428571428571429,1,2
228,215,0.714285714285714,1,2
228,224,0.142857142857143,1,2
229,746,0.952380952380952,1,2
229,2521,0.238095238095238,1,2
229,1203,0.571428571428571,1,2
231,78,0.761904761904762,1,2
232,2559,0.428571428571429,1,2
232,2836,0.428571428571429,1,2
232,2946,0,1,2
233,3279,1,1,2
233,2841,0.666666666666667,1,2
235,230,0.904761904761905,1,2
235,484,1,1,2
236,2138,0.333333333333333,1,2
239,3608,0.80952380952381,1,2
241,377,0.333333333333333,1,2
241,1107,0.523809523809524,1,2
244,1665,0.428571428571429,1,2
245,3139,0.238095238095238,1,2
246,2190,0.666666666666667,1,2
247,443,0.0952380952380952,1,2
247,449,0.142857142857143,1,2
248,2424,0.380952380952381,1,2
249,2977,0.380952380952381,1,2
250,2534,0.428571428571429,1,2
251,765,0.476190476190476,1,2
251,1787,0.333333333333333,1,2
252,653,0.952380952380952,1,2
252,2082,0.952380952380952,1,2
252,3221,0.761904761904762,1,2
252,1033,0.571428571428571,1,2
255,3593,1,1,2
256,3552,1,1,2
256,2835,0.857142857142857,1,2
256,270,0.857142857142857,1,2
258,135,0.428571428571429,1,2
259,863,0.476190476190476,1,2
260,393,0.714285714285714,1,2
261,102,1,1,2
262,258,0.571428571428571,1,2
264,285,1,1,2
264,1317,0.523809523809524,1,2
264,3125,0.476190476190476,1,2
265,3057,0.333333333333333,1,2
266,1401,1,1,2
266,2627,0.523809523809524,1,2
266,1336,0.428571428571429,1,2
268,2273,0.952380952380952,1,2
268,2404,0.0476190476190476,1,2
269,2404,0.428571428571429,1,2
269,180,0.380952380952381,1,2
271,2058,0.523809523809524,1,2
271,82,0.571428571428571,1,2
272,572,0.80952380952381,1,2
272,2223,0.761904761904762,1,2
272,98,0.428571428571429,1,2
272,139,0.476190476190476,1,2
273,3382,0.238095238095238,1,2
273,408,0.285714285714286,1,2
274,1929,0.19047619047619,1,2
277,308,0.80952380952381,1,2
277,2519,0.523809523809524,1,2
277,2167,1,1,2
280,1581,0.761904761904762,1,2
280,2568,0.80952380952381,1,2
280,2532,0.619047619047619,1,2
281,2424,1,1,2
281,220,1,1,2
283,494,0.380952380952381,1,2
283,1262,0.476190476190476,1,2
284,2156,0.523809523809524,1,2
287,892,0.571428571428571,1,2
287,646,0.19047619047619,1,2
288,970,0.666666666666667,1,2
288,2575,0.380952380952381,1,2
288,3130,0.619047619047619,1,2
288,922,0.333333333333333,1,2
288,3024,0.619047619047619,1,2
290,3171,0.904761904761905,1,2
290,1029,0.904761904761905,1,2
291,607,0.380952380952381,1,2
291,2120,0.285714285714286,1,2
292,40,0.380952380952381,1,2
292,3147,0.238095238095238,1,2
293,288,0.333333333333333,1,2
293,12,0.19047619047619,1,2
294,3143,0.571428571428571,1,2
294,408,0.761904761904762,1,2
294,1585,0.333333333333333,1,2
295,2914,0.0476190476190476,1,2
295,2901,0.333333333333333,1,2
299,2657,0.285714285714286,1,2
303,3331,1,1,2
304,2079,0.523809523809524,1,2
