cell1,cell2,score,dataset1,dataset2
3,370,0.333333333333333,1,2
3,3504,0.571428571428571,1,2
4,3354,1,1,2
4,439,1,1,2
4,1437,1,1,2
4,4227,1,1,2
5,1541,0.904761904761905,1,2
6,231,0.19047619047619,1,2
7,3238,0.571428571428571,1,2
9,207,0.428571428571429,1,2
10,2531,0.19047619047619,1,2
11,3656,0.428571428571429,1,2
14,3502,0.333333333333333,1,2
14,1627,0.333333333333333,1,2
15,2879,0.142857142857143,1,2
16,1714,0.238095238095238,1,2
16,2686,0.285714285714286,1,2
19,1560,0.714285714285714,1,2
22,1746,0.428571428571429,1,2
22,3726,0.523809523809524,1,2
22,2743,0.142857142857143,1,2
24,4155,0.333333333333333,1,2
24,3609,0.476190476190476,1,2
26,775,0.333333333333333,1,2
26,111,0.761904761904762,1,2
28,3306,0.428571428571429,1,2
31,2678,0.142857142857143,1,2
35,3529,0.619047619047619,1,2
35,2258,0.619047619047619,1,2
36,2481,0,1,2
40,2469,0.428571428571429,1,2
43,2882,0.19047619047619,1,2
46,4137,0.142857142857143,1,2
47,2575,0.285714285714286,1,2
47,1440,0.380952380952381,1,2
49,2742,0.476190476190476,1,2
49,637,0.238095238095238,1,2
51,1933,0.428571428571429,1,2
52,1946,0.571428571428571,1,2
52,3322,0.952380952380952,1,2
53,809,0.238095238095238,1,2
55,2486,0.238095238095238,1,2
55,1845,0.142857142857143,1,2
55,1595,0.0952380952380952,1,2
58,1832,0.238095238095238,1,2
59,157,0.238095238095238,1,2
61,367,0.523809523809524,1,2
61,4152,0.523809523809524,1,2
62,2600,0.523809523809524,1,2
63,3437,0.285714285714286,1,2
63,3155,0.142857142857143,1,2
66,547,0.428571428571429,1,2
71,2208,0.523809523809524,1,2
72,4118,0.476190476190476,1,2
72,2385,0.285714285714286,1,2
74,784,0.285714285714286,1,2
74,3394,0.142857142857143,1,2
74,613,0.238095238095238,1,2
75,1034,0.380952380952381,1,2
77,706,0.0476190476190476,1,2
77,2126,0.380952380952381,1,2
78,930,0.428571428571429,1,2
79,27,0.0952380952380952,1,2
80,316,0.238095238095238,1,2
82,1984,0.666666666666667,1,2
85,776,0.571428571428571,1,2
85,32,0.904761904761905,1,2
86,260,0.19047619047619,1,2
87,3734,0.19047619047619,1,2
89,3853,1,1,2
90,3027,0.476190476190476,1,2
91,1686,0.285714285714286,1,2
99,122,0.19047619047619,1,2
99,2150,0.285714285714286,1,2
100,1690,0.523809523809524,1,2
102,2792,1,1,2
102,1378,1,1,2
105,2060,0.380952380952381,1,2
106,1714,0.142857142857143,1,2
106,676,0.333333333333333,1,2
107,954,0.333333333333333,1,2
109,2753,0.0476190476190476,1,2
109,1106,0.0952380952380952,1,2
112,2912,0.380952380952381,1,2
113,2765,0.476190476190476,1,2
113,3902,0.428571428571429,1,2
116,275,0.238095238095238,1,2
118,757,0.285714285714286,1,2
119,3329,0.571428571428571,1,2
121,997,0.238095238095238,1,2
121,3228,0.19047619047619,1,2
123,2189,0.238095238095238,1,2
123,3797,0.0476190476190476,1,2
123,624,0.19047619047619,1,2
125,798,0.571428571428571,1,2
126,2454,0.0476190476190476,1,2
128,2981,0.0952380952380952,1,2
132,4133,0.571428571428571,1,2
133,2230,0.19047619047619,1,2
135,3397,0.142857142857143,1,2
136,2494,0.380952380952381,1,2
137,2712,0.380952380952381,1,2
139,1966,0.80952380952381,1,2
139,1599,0.380952380952381,1,2
139,1330,0.19047619047619,1,2
140,536,0.19047619047619,1,2
143,3823,0.904761904761905,1,2
143,635,0.523809523809524,1,2
143,1848,0.238095238095238,1,2
145,2860,0.380952380952381,1,2
145,1288,0.238095238095238,1,2
145,2082,0.380952380952381,1,2
148,1439,0.0952380952380952,1,2
149,2662,0.380952380952381,1,2
150,4224,0.333333333333333,1,2
150,2965,0.0952380952380952,1,2
153,3200,0.333333333333333,1,2
156,1800,0.571428571428571,1,2
156,789,0.19047619047619,1,2
156,4152,0.80952380952381,1,2
157,2222,0.0476190476190476,1,2
158,815,0.380952380952381,1,2
158,2990,0.285714285714286,1,2
159,4153,0.333333333333333,1,2
159,2253,0.285714285714286,1,2
164,4175,0.523809523809524,1,2
165,2701,0.333333333333333,1,2
166,3440,0.333333333333333,1,2
166,821,0.333333333333333,1,2
167,4326,0.142857142857143,1,2
168,2004,0.714285714285714,1,2
171,15,0.476190476190476,1,2
172,1584,0.952380952380952,1,2
172,929,1,1,2
172,3491,0.666666666666667,1,2
172,3981,1,1,2
175,3836,0,1,2
175,2489,0.428571428571429,1,2
178,2485,0.333333333333333,1,2
179,696,1,1,2
179,726,1,1,2
179,3487,1,1,2
182,1548,0.761904761904762,1,2
183,4288,0.285714285714286,1,2
183,1960,0.19047619047619,1,2
184,3411,0.142857142857143,1,2
185,2085,0.761904761904762,1,2
185,1079,0.714285714285714,1,2
186,2237,0.428571428571429,1,2
191,592,0.380952380952381,1,2
191,1281,0.285714285714286,1,2
193,1216,0.238095238095238,1,2
193,689,0.0476190476190476,1,2
195,3105,0.238095238095238,1,2
195,38,0.428571428571429,1,2
197,1356,0.428571428571429,1,2
198,1483,1,1,2
198,1279,1,1,2
199,773,0.428571428571429,1,2
202,2219,0.571428571428571,1,2
204,593,0.142857142857143,1,2
205,2390,0.142857142857143,1,2
206,3310,0.476190476190476,1,2
206,1268,0.428571428571429,1,2
207,2651,0.142857142857143,1,2
210,1576,0.19047619047619,1,2
212,1030,0.571428571428571,1,2
212,3608,0.476190476190476,1,2
213,2594,0.238095238095238,1,2
213,1988,0.238095238095238,1,2
215,2435,0.238095238095238,1,2
218,168,0.571428571428571,1,2
219,4056,0.285714285714286,1,2
221,3104,0.761904761904762,1,2
223,215,0.380952380952381,1,2
226,1167,0.0476190476190476,1,2
226,3431,0.19047619047619,1,2
227,447,0.142857142857143,1,2
229,1680,0.19047619047619,1,2
230,1608,0.476190476190476,1,2
232,238,0.714285714285714,1,2
232,475,0.666666666666667,1,2
232,1507,0.714285714285714,1,2
234,184,0.952380952380952,1,2
234,3989,0.428571428571429,1,2
234,3091,1,1,2
234,713,1,1,2
235,98,0.714285714285714,1,2
235,2968,0.238095238095238,1,2
235,1670,0.714285714285714,1,2
240,3324,0.19047619047619,1,2
242,1209,0.476190476190476,1,2
242,1937,0.476190476190476,1,2
243,3306,0.761904761904762,1,2
245,2562,0.380952380952381,1,2
250,4061,0.380952380952381,1,2
252,1403,0.523809523809524,1,2
253,3255,0.238095238095238,1,2
256,793,0,1,2
257,415,0.19047619047619,1,2
258,1477,0.19047619047619,1,2
261,1113,0.142857142857143,1,2
262,2537,1,1,2
262,1903,0.904761904761905,1,2
262,2723,1,1,2
263,1354,0.380952380952381,1,2
265,1888,0.380952380952381,1,2
266,1415,0.476190476190476,1,2
267,2705,0.285714285714286,1,2
267,3072,0.0952380952380952,1,2
269,14,0.0476190476190476,1,2
269,1855,0.380952380952381,1,2
272,1835,0.333333333333333,1,2
274,830,0.619047619047619,1,2
274,947,0.428571428571429,1,2
276,29,1,1,2
276,1945,1,1,2
276,409,0.761904761904762,1,2
277,1226,0.571428571428571,1,2
277,1877,0.666666666666667,1,2
277,3608,0.619047619047619,1,2
278,1415,0.333333333333333,1,2
279,1325,0.142857142857143,1,2
284,2940,0.238095238095238,1,2
286,1612,0.0476190476190476,1,2
287,4275,0.285714285714286,1,2
287,2323,0.238095238095238,1,2
289,1427,0.380952380952381,1,2
289,9,0.666666666666667,1,2
293,3036,0.0952380952380952,1,2
294,1355,1,1,2
295,353,0.0476190476190476,1,2
295,120,0.333333333333333,1,2
296,2273,0.285714285714286,1,2
