,source,type,gene_id,gene_version,gene_name,gene_source,gene_biotype,gene_search,is_top_hvg
ENSG00000243485,havana,gene,ENSG00000243485,5,MIR1302-2HG,havana,lincRNA,MIR1302-2HG; ENSG00000243485,FALSE
ENSG00000237613,havana,gene,ENSG00000237613,2,FAM138A,havana,lincRNA,FAM138A; ENSG00000237613,FALSE
ENSG00000186092,ensembl_havana,gene,ENSG00000186092,6,OR4F5,ensembl_havana,protein_coding,OR4F5; ENSG00000186092,FALSE
ENSG00000238009,ensembl_havana,gene,ENSG00000238009,6,AL627309.1,ensembl_havana,lincRNA,AL627309.1; ENSG00000238009,FALSE
ENSG00000239945,havana,gene,ENSG00000239945,1,AL627309.3,havana,lincRNA,AL627309.3; ENSG00000239945,FALSE
ENSG00000239906,havana,gene,ENSG00000239906,1,AL627309.2,havana,antisense,AL627309.2; ENSG00000239906,FALSE
ENSG00000241599,havana,gene,ENSG00000241599,1,AL627309.4,havana,lincRNA,AL627309.4; ENSG00000241599,FALSE
ENSG00000236601,havana,gene,ENSG00000236601,2,AL732372.1,havana,lincRNA,AL732372.1; ENSG00000236601,FALSE
ENSG00000284733,ensembl_havana,gene,ENSG00000284733,1,OR4F29,ensembl_havana,protein_coding,OR4F29; ENSG00000284733,FALSE
ENSG00000235146,havana,gene,ENSG00000235146,2,AC114498.1,havana,lincRNA,AC114498.1; ENSG00000235146,FALSE
ENSG00000284662,ensembl_havana,gene,ENSG00000284662,1,OR4F16,ensembl_havana,protein_coding,OR4F16; ENSG00000284662,FALSE
ENSG00000229905,havana,gene,ENSG00000229905,1,AL669831.2,havana,antisense,AL669831.2; ENSG00000229905,FALSE
ENSG00000237491,havana,gene,ENSG00000237491,8,AL669831.5,havana,lincRNA,AL669831.5; ENSG00000237491,FALSE
ENSG00000177757,havana,gene,ENSG00000177757,2,FAM87B,havana,lincRNA,FAM87B; ENSG00000177757,FALSE
ENSG00000225880,havana,gene,ENSG00000225880,5,LINC00115,havana,lincRNA,LINC00115; ENSG00000225880,FALSE
ENSG00000230368,havana,gene,ENSG00000230368,2,FAM41C,havana,lincRNA,FAM41C; ENSG00000230368,FALSE
ENSG00000272438,havana,gene,ENSG00000272438,1,AL645608.7,havana,lincRNA,AL645608.7; ENSG00000272438,FALSE
ENSG00000230699,havana,gene,ENSG00000230699,2,AL645608.3,havana,lincRNA,AL645608.3; ENSG00000230699,FALSE
ENSG00000241180,havana,gene,ENSG00000241180,1,AL645608.5,havana,lincRNA,AL645608.5; ENSG00000241180,FALSE
ENSG00000223764,havana,gene,ENSG00000223764,2,AL645608.1,havana,lincRNA,AL645608.1; ENSG00000223764,FALSE
ENSG00000187634,ensembl_havana,gene,ENSG00000187634,11,SAMD11,ensembl_havana,protein_coding,SAMD11; ENSG00000187634,FALSE
ENSG00000188976,ensembl_havana,gene,ENSG00000188976,10,NOC2L,ensembl_havana,protein_coding,NOC2L; ENSG00000188976,FALSE
ENSG00000187961,ensembl_havana,gene,ENSG00000187961,13,KLHL17,ensembl_havana,protein_coding,KLHL17; ENSG00000187961,FALSE
ENSG00000187583,ensembl_havana,gene,ENSG00000187583,10,PLEKHN1,ensembl_havana,protein_coding,PLEKHN1; ENSG00000187583,FALSE
ENSG00000187642,ensembl_havana,gene,ENSG00000187642,9,PERM1,ensembl_havana,protein_coding,PERM1; ENSG00000187642,FALSE
ENSG00000272512,havana,gene,ENSG00000272512,1,AL645608.8,havana,lincRNA,AL645608.8; ENSG00000272512,FALSE
ENSG00000188290,ensembl_havana,gene,ENSG00000188290,10,HES4,ensembl_havana,protein_coding,HES4; ENSG00000188290,TRUE
ENSG00000187608,ensembl_havana,gene,ENSG00000187608,8,ISG15,ensembl_havana,protein_coding,ISG15; ENSG00000187608,TRUE
ENSG00000224969,havana,gene,ENSG00000224969,1,AL645608.2,havana,antisense,AL645608.2; ENSG00000224969,FALSE
ENSG00000188157,ensembl_havana,gene,ENSG00000188157,14,AGRN,ensembl_havana,protein_coding,AGRN; ENSG00000188157,FALSE
ENSG00000273443,havana,gene,ENSG00000273443,1,AL645608.9,havana,lincRNA,AL645608.9; ENSG00000273443,FALSE
ENSG00000237330,ensembl_havana,gene,ENSG00000237330,2,RNF223,ensembl_havana,protein_coding,RNF223; ENSG00000237330,FALSE
ENSG00000131591,ensembl_havana,gene,ENSG00000131591,17,C1orf159,ensembl_havana,protein_coding,C1orf159; ENSG00000131591,FALSE
