cell1,cell2,score,dataset1,dataset2
1,3440,1,1,2
1,469,1,1,2
1,675,1,1,2
1,432,0.842105263157895,1,2
3,2967,0.157894736842105,1,2
4,861,0.368421052631579,1,2
5,3411,0,1,2
7,269,0.789473684210526,1,2
8,1029,0.263157894736842,1,2
9,2071,0.578947368421053,1,2
9,378,0.368421052631579,1,2
9,1002,0.526315789473684,1,2
10,1666,0.0526315789473684,1,2
12,596,0.210526315789474,1,2
15,3132,0.789473684210526,1,2
17,2472,0.68421052631579,1,2
18,2256,0.526315789473684,1,2
18,2944,0.526315789473684,1,2
18,1528,0.368421052631579,1,2
18,314,0.315789473684211,1,2
19,2526,0.210526315789474,1,2
20,294,0.68421052631579,1,2
20,2399,0.473684210526316,1,2
23,995,0.0526315789473684,1,2
23,525,0.105263157894737,1,2
24,1199,0.157894736842105,1,2
26,1620,1,1,2
26,2639,0.263157894736842,1,2
32,1744,0.263157894736842,1,2
32,2167,0.421052631578947,1,2
32,2439,0.631578947368421,1,2
35,818,0.0526315789473684,1,2
37,280,0.210526315789474,1,2
38,365,0.631578947368421,1,2
39,671,0.421052631578947,1,2
39,525,0.315789473684211,1,2
39,1723,0.526315789473684,1,2
40,2415,0.421052631578947,1,2
40,1757,0.263157894736842,1,2
40,1132,0.473684210526316,1,2
42,1744,0.68421052631579,1,2
42,2959,0.789473684210526,1,2
43,2988,0.105263157894737,1,2
44,2004,0.105263157894737,1,2
48,2742,0.631578947368421,1,2
48,3389,0.263157894736842,1,2
48,2122,0.578947368421053,1,2
48,885,0.368421052631579,1,2
53,1331,0.473684210526316,1,2
55,3125,0.526315789473684,1,2
55,839,0.315789473684211,1,2
55,274,0.578947368421053,1,2
55,3082,0.105263157894737,1,2
56,228,0.210526315789474,1,2
58,602,0.368421052631579,1,2
60,2208,0.631578947368421,1,2
60,2850,0.631578947368421,1,2
62,1446,0.210526315789474,1,2
66,1971,0.631578947368421,1,2
66,1711,0.473684210526316,1,2
66,940,0.526315789473684,1,2
67,2193,0.210526315789474,1,2
68,32,0.0526315789473684,1,2
68,594,0.210526315789474,1,2
69,2668,0.578947368421053,1,2
72,2665,0.210526315789474,1,2
74,534,0.157894736842105,1,2
76,1050,0.526315789473684,1,2
78,3444,0.263157894736842,1,2
79,1281,0.947368421052632,1,2
79,1753,0.789473684210526,1,2
79,3463,0.473684210526316,1,2
80,3294,0.473684210526316,1,2
80,3247,0.210526315789474,1,2
81,71,0.210526315789474,1,2
81,3049,0.578947368421053,1,2
82,1615,0.157894736842105,1,2
84,2182,0.421052631578947,1,2
86,1478,0.526315789473684,1,2
87,1444,0.68421052631579,1,2
87,220,0.631578947368421,1,2
88,1889,1,1,2
89,2690,1,1,2
89,697,1,1,2
89,210,0.842105263157895,1,2
92,2317,0.631578947368421,1,2
92,3101,0.578947368421053,1,2
93,1900,0.421052631578947,1,2
96,2139,0.68421052631579,1,2
96,2366,0.526315789473684,1,2
96,65,0.842105263157895,1,2
98,1821,0.578947368421053,1,2
98,3233,0.421052631578947,1,2
99,1649,1,1,2
99,2345,0.68421052631579,1,2
99,2186,0.473684210526316,1,2
101,1367,0.315789473684211,1,2
101,918,0.157894736842105,1,2
105,1619,0.631578947368421,1,2
107,1749,0.526315789473684,1,2
108,1318,0.157894736842105,1,2
108,97,0.789473684210526,1,2
109,2651,0.526315789473684,1,2
112,3253,0.421052631578947,1,2
113,2585,1,1,2
114,2927,0.947368421052632,1,2
119,2932,0.578947368421053,1,2
122,1201,0.210526315789474,1,2
124,1782,1,1,2
124,1647,1,1,2
125,3473,1,1,2
125,1274,1,1,2
131,219,0.315789473684211,1,2
133,1656,0.421052631578947,1,2
134,2263,0.473684210526316,1,2
136,2445,1,1,2
136,2959,1,1,2
136,3132,1,1,2
139,234,0.157894736842105,1,2
141,131,0.473684210526316,1,2
141,1498,0.947368421052632,1,2
141,144,0.789473684210526,1,2
141,387,0.894736842105263,1,2
142,2455,1,1,2
143,3236,0.578947368421053,1,2
