symbol,Reference,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Ctgf,Zeng,MH,7750,CTGF,ENSG00000118523,Layer6+WM,0,0,0,0,0,1,1,9.37E-28,2.09E-23,17.01205069,1.952739147,1,5.641160131,7750,CTGF,ENSG00000118523,9.37E-28,2.09E-23,17.01205069,1.952739147,5.641160131
Lmo4,Molyneaux,MH,982,LMO4,ENSG00000143013,Layer2+Layer3+Layer4+Layer5+Layer6,0,1,1,1,1,1,0,9.41E-23,1.05E-19,13.96912686,1.008449946,20,10.08056472,18436,GFAP,ENSG00000131095,2.42E-29,5.41E-25,-18.07550423,-2.475416305,10.45267203
Etv1,Zeng,MH,8095,ETV1,ENSG00000006468,Layer5+Layer6,0,0,0,0,1,1,0,1.30E-22,2.91E-18,13.87646383,1.220289321,1,6.076554195,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Pcp4,Molyneaux,MH,22225,PCP4,ENSG00000183036,Layer5,0,0,0,0,1,0,0,1.81E-19,4.05E-15,12.10214777,1.875983047,1,8.23855287,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Cxcl14,Zeng,MH,6435,CXCL14,ENSG00000145824,Layer1+Layer2,1,1,0,0,0,0,0,5.71E-19,3.19E-15,11.82910187,1.610844694,4,8.651743835,7564,CNR1,ENSG00000118432,9.30E-24,2.08E-19,14.54727882,1.577708606,6.997688736
Ntng2,Zeng,MH,11252,NTNG2,ENSG00000196358,Layer5+Layer6,0,0,0,0,1,1,0,5.13E-18,1.91E-14,11.31255561,1.178605571,6,5.983672883,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Nr4a2,Zeng,MH,3178,NR4A2,ENSG00000153234,Layer6+WM,0,0,0,0,0,1,1,2.64E-16,1.18E-13,10.39768115,2.011237154,50,4.882437024,7750,CTGF,ENSG00000118523,9.37E-28,2.09E-23,17.01205069,1.952739147,5.641160131
Cux2,Zeng+Molyneaux,MH,14444,CUX2,ENSG00000111249,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,2.65E-15,8.46E-12,9.87019864,2.074871589,7,5.581757277,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Reln,Zeng+Molyneaux,MH,8638,RELN,ENSG00000189056,Layer1,1,0,0,0,0,0,0,7.94E-15,9.33E-12,9.62252324,3.313425009,19,4.919252424,17246,MT1G,ENSG00000125144,3.16E-23,7.06E-19,14.2364432,1.748449127,7.826740352
Calb1,Zeng,MH,10184,CALB1,ENSG00000104327,Layer2+Layer3,0,1,1,0,0,0,0,1.54E-14,3.86E-11,9.470477517,2.045015838,8,5.838031261,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
